Candidate,Party,State,constituency
Lallu Singh(Leading),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Faizabad
Smriti Irani(Leading),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Amethi
Sonia Gandhi(Won),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Rae Bareli
Niranjan Jyoti(Won),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Fatehpur
Pushpendra Singh Chandel(Leading),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Hamirpur
Bhanu Pratap Singh Verma(Won),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Jalaun
Anurag Sharma(Leading),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Jhansi
R. K. Singh Patel(Won),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Banda
VINOD KUMAR SONKAR(Won),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Kaushambi
Rita Bahuguna Joshi(Leading),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Allahabad
Keshri Patel(Leading),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Phulpur
Sangam Lal Gupta(Won),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Pratapgarh
Maneka Gandhi(Won),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Sultanpur
Shri Ritesh Pandey(Leading),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Ambedkar Nagar
Praveen Kumar Nishad(Leading),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Sant Kabir Nagar
Ravi Kishan(Won),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Gorakhpur
Vijay Dubey(Leading),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Kushi Nagar
Baidya Nath Prasad Mahato JD(U)(Won),Dr. Banshilal Mahto (BJP),Bihar,Valmiki Nagar
Ramapati Ram Tripathi(Leading),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Deoria
Kamlesh Paswan(Won),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Bansgaon
Shree Akhilesh Yadav(Leading),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Azamgarh
Smt. Sangeeta(Leading),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Lalganj
Shri Ritesh Pandey(Leading),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Ambedkar Nagar
Smt. Sangeeta(Leading),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Lalganj
Shri Shyam Singh Yadav(Leading),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Jaunpur
Shri T Ram(Leading),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Machhlishahr
Narendra Modi(Won),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Varanasi
Ramesh Bind(Leading),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Bhadohi
Rita Bahuguna Joshi(Leading),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Allahabad
Anupriya Patel(Leading),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Mirzapur
Pakauri Lal(Won),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Robertsganj
Anupriya Patel(Leading),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Mirzapur
Pakauri Lal(Won),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Robertsganj
Mahendra Nath Pandey(Leading),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Chandauli
Shri Afzal Ansari(Leading),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Ghazipur
Virendra Singh Mast(Won),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Ballia
Shri Atul Rai(Leading),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Ghosi
Virendra Singh Mast(Won),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Ballia
Ravindra Kushawaha(Won),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Salempur
Virendra Singh Mast(Won),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Ballia
Kavita Singh JD(U)(Leading),Dr. Banshilal Mahto (BJP),Bihar,Siwan
Janardan Singh Sigriwal (BJP)(Won),Dr. Banshilal Mahto (BJP),Bihar,Maharajganj
Kavita Singh JD(U)(Leading),Dr. Banshilal Mahto (BJP),Bihar,Siwan
Dr. Alok Kumar Suman JD(U)(Won),Dr. Banshilal Mahto (BJP),Bihar,Gopalganj
Ramapati Ram Tripathi(Leading),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Deoria
Baidya Nath Prasad Mahato JD(U)(Won),Dr. Banshilal Mahto (BJP),Bihar,Valmiki Nagar
Dr. Sanjay Jaiswal (BJP)(Won),Dr. Banshilal Mahto (BJP),Bihar,Paschim Champaran
Smt. Rama Devi (BJP)(Leading),Dr. Banshilal Mahto (BJP),Bihar,Sheohar
Dr. Varun Kumar JD(U)(Won),Dr. Banshilal Mahto (BJP),Bihar,Sitamarhi
Ashok Kumar Yadav (BJP)(Won),Dr. Banshilal Mahto (BJP),Bihar,Madhubani
Gopal Ji Thakur (BJP)(Won),Dr. Banshilal Mahto (BJP),Bihar,Darbhanga
Ajay Nishad (BJP)(Leading),Dr. Banshilal Mahto (BJP),Bihar,Muzaffarpur
Veena Devi (LJP)(Leading),Dr. Banshilal Mahto (BJP),Bihar,Vaishali
Radha Mohan Singh (BJP)(Leading),Dr. Banshilal Mahto (BJP),Bihar,Purvi Champaran
Dr. Alok Kumar Suman JD(U)(Won),Dr. Banshilal Mahto (BJP),Bihar,Gopalganj
Janardan Singh Sigriwal (BJP)(Won),Dr. Banshilal Mahto (BJP),Bihar,Maharajganj
Rajiv Pratap Rudy (BJP)(Leading),Dr. Banshilal Mahto (BJP),Bihar,Saran
Pashupati Kumar Paras (LJP)(Leading),Dr. Banshilal Mahto (BJP),Bihar,Hajipur
Nityanand Rai (BJP)(Won),Dr. Banshilal Mahto (BJP),Bihar,Ujiarpur
Ramchandra Paswan (LJP)(Won),Dr. Banshilal Mahto (BJP),Bihar,Samastipur
Giriraj Singh (BJP)(Won),Dr. Banshilal Mahto (BJP),Bihar,Begusarai
Choudhary Mehboob Ali Kaiser(Leading),Dr. Banshilal Mahto (BJP),Bihar,Khagaria
Gopal Ji Thakur (BJP)(Won),Dr. Banshilal Mahto (BJP),Bihar,Darbhanga
Ram Preet Mandal JD(U)(Won),Dr. Banshilal Mahto (BJP),Bihar,Jhanjharpur
Ashok Kumar Yadav (BJP)(Won),Dr. Banshilal Mahto (BJP),Bihar,Madhubani
Dileshwar Kamath JD(U)(Won),Dr. Banshilal Mahto (BJP),Bihar,Supaul
Pradeep Singh (BJP)(Won),Dr. Banshilal Mahto (BJP),Bihar,Araria
Mohammad Javed (Congress)(Won),Dr. Banshilal Mahto (BJP),Bihar,Kishanganj
Smt. Deboshree Chaudhary(Leading),Dr. Banshilal Mahto (BJP),West Bengal,Raiganj
Dular Chand Goswami JD(U)(Won),Dr. Banshilal Mahto (BJP),Bihar,Katihar
Santosh Kumar Kushwah JD(U)(Won),Dr. Banshilal Mahto (BJP),Bihar,Purnia
Choudhary Mehboob Ali Kaiser(Leading),Dr. Banshilal Mahto (BJP),Bihar,Khagaria
Ramchandra Paswan (LJP)(Won),Dr. Banshilal Mahto (BJP),Bihar,Samastipur
Nityanand Rai (BJP)(Won),Dr. Banshilal Mahto (BJP),Bihar,Ujiarpur
Pashupati Kumar Paras (LJP)(Leading),Dr. Banshilal Mahto (BJP),Bihar,Hajipur
Ravi Shankar Prasad-BJP(Leading),Dr. Banshilal Mahto (BJP),Bihar,Patna Sahib
Ram Krapal Yadav (BJP)(Leading),Dr. Banshilal Mahto (BJP),Bihar,Pataliputra
Rajkumar Singh (BJP)(Won),Dr. Banshilal Mahto (BJP),Bihar,Arrah
Ashwini Kumar Choubey (BJP)(Won),Dr. Banshilal Mahto (BJP),Bihar,Buxar
Chedi Paswan (BJP)(Won),Dr. Banshilal Mahto (BJP),Bihar,Sasaram
Pakauri Lal(Won),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Robertsganj
